TIME;TEMPERATURE;VOLUME;HEATING
0,0010013;18,9;100;ON
0,8581281;18,88;100;ON
1,6797725;18,94;100;ON
2,5198553;18,9;100;ON
3,3366961;18,89;100;ON
4,1507907;18,9;100;ON
4,9496077;18,89;100;ON
5,7446685;18,85;100;ON
6,5280805;18,89;100;ON
7,3349452;18,85;100;ON
8,1243853;18,86;100;ON
8,9296374;18,8;100;ON
9,7485236;18,82;100;ON
10,5692806;18,85;100;ON
11,3181055;18,89;100;ON
12,0781026;18,85;100;ON
12,8100477;18,89;100;ON
13,5605944;18,89;100;ON
14,3153578;18,89;100;ON
15,0665056;18,9;100;ON
15,8306595;18,92;100;ON
16,592074;18,85;100;ON
17,3717646;18,89;100;ON
18,1710906;18,88;100;ON
18,961563;18,89;100;ON
19,7317593;18,88;100;ON
20,5122006;18,84;100;ON
21,2439784;18,85;100;ON
22,0286002;18,86;100;ON
22,8035239;18,9;100;ON
23,5671099;18,91;100;ON
24,3159374;18,86;100;ON
25,0875716;18,89;100;ON
25,8401224;18,9;100;ON
26,5928062;18,88;100;ON
27,3487885;18,88;100;ON
28,099192;18,85;100;ON
28,888651;18,85;100;ON
29,676139;18,94;100;ON
30,425283;18,92;100;ON
31,2178494;18,92;100;ON
31,9936827;18,96;100;ON
32,8141313;18,94;100;ON
33,6234446;19,04;100;ON
34,4098097;19,14;100;ON
35,2219473;19,29;100;ON
36,047756;19,39;100;ON
36,8268637;19,46;100;ON
37,6361551;19,62;100;ON
38,4576575;19,77;100;ON
39,2478735;19,89;100;ON
40,0183806;20,14;100;ON
40,8324402;20,35;100;ON
41,6255817;20,5;100;ON
42,4434612;20,6;100;ON
43,238784;20,76;100;ON
44,0326604;20,97;100;ON
44,8172448;21,19;100;ON
45,6143071;21,39;100;ON
46,4199485;21,52;100;ON
47,2011668;21,75;100;ON
47,9863263;21,84;100;ON
48,7729058;21,97;100;ON
49,5499587;22,14;100;ON
50,3440544;22,27;100;ON
51,1320412;22,35;100;ON
51,9374065;22,39;100;ON
52,7583607;22,53;100;ON
53,54871;22,71;100;ON
54,3735653;22,96;100;ON
55,1789125;23,09;100;ON
55,9555953;23,32;100;ON
56,7756705;23,39;100;ON
57,605579;23,65;100;ON
58,3894943;23,63;100;ON
