TIME;TEMPERATURE;VOLUME;HEATING
0;35,43;300;ON
0,7750211;35,49;300;ON
1,5411822;35,49;300;ON
2,3079898;35,46;300;ON
3,0904387;35,46;300;ON
3,866039;35,46;300;ON
4,6726784;35,46;300;ON
5,4667224;35,5;300;ON
6,2472766;35,41;300;ON
7,0212012;35,46;300;ON
7,8183504;35,43;300;ON
8,5778488;35,35;300;ON
9,3357299;35,41;300;ON
10,1166168;35,45;300;ON
10,9049993;35,42;300;ON
11,7001984;35,5;300;ON
12,5050677;35,48;300;ON
13,2916949;35,46;300;ON
14,0714002;35,58;300;ON
14,8739519;35,72;300;ON
15,6344856;35,91;300;ON
16,4223026;36,13;300;ON
17,1997496;36,23;300;ON
17,9797046;36,57;300;ON
18,7783442;37,21;300;ON
19,5631118;37,64;300;ON
20,3505519;38,13;300;ON
21,121292;38,41;300;ON
21,9195223;38,75;300;ON
22,718391;38,98;300;ON
23,4869536;39,12;300;ON
24,2864525;38,94;300;ON
25,0758448;38,59;300;ON
25,8614049;38,4;300;ON
26,6218366;38,32;300;ON
27,4211955;38,25;300;ON
28,2191445;38,4;300;ON
28,9764415;38,48;300;ON
29,7671534;38,64;300;ON
30,5706434;38,61;300;ON
31,3539826;38,61;300;ON
32,1561828;38,6;300;ON
32,959214;38,68;300;ON
33,7384629;38,75;300;ON
34,4952883;38,83;300;ON
35,2455586;38,82;300;ON
36,0228176;38,92;300;ON
36,7989088;38,98;300;ON
37,5969831;38,98;300;ON
38,3586491;39,18;300;ON
39,1386736;39,39;300;ON
39,9311725;39,78;300;ON
40,726384;40,25;300;ON
41,5348294;40,75;300;ON
42,2980027;41,25;300;ON
43,0917104;41,39;300;ON
43,8747739;41,37;300;ON
44,6692669;41,31;300;ON
45,4510361;41,73;300;ON
46,2330349;42,43;300;ON
47,0153268;43,17;300;ON
47,7978749;43,28;300;ON
48,570973;43,44;300;ON
49,3567461;43,94;300;ON
50,1372595;44,55;300;ON
50,9393845;44,78;300;ON
51,7452371;44,92;300;ON
52,5216741;45,35;300;ON
53,3261318;45,51;300;ON
54,086818;45,66;300;ON
54,8749714;46,33;300;ON
55,6514364;47,3;300;ON
56,4143163;48,25;300;ON
57,2095169;48,48;300;ON
58,0173185;48,1;300;ON
58,7917762;48,05;300;ON
59,5791843;48,55;300;ON
60,3892476;49,16;300;ON
61,1965054;49,25;300;ON
61,9994955;49,51;300;ON
62,7819988;49,95;300;ON
63,5297981;50,53;300;ON
64,3067109;51,47;300;OFF
65,0935548;52,64;300;OFF
65,8855078;53,13;300;OFF
66,625697;53,82;300;OFF
67,4050033;54,62;300;OFF
68,18416;54,9;300;OFF
68,9623978;54,8;300;OFF
69,7735251;54,51;300;OFF
70,5519067;54,49;300;OFF
71,3448353;55,21;300;OFF
72,1368159;56;300;OFF
72,9175917;56,32;300;OFF
73,7042751;56,75;300;OFF
74,4835954;56,94;300;OFF
75,2624788;57,03;300;OFF
76,0393462;57,5;300;OFF
76,7910381;57,88;300;OFF
77,5632417;57,75;300;OFF
78,3448319;57,26;300;OFF
79,1421753;56,57;300;OFF
79,9292117;55,92;300;OFF
80,697413;55,39;300;OFF
81,4917413;55,26;300;OFF
82,2930111;55;300;OFF
83,081095;54,94;300;OFF
83,8741932;54,95;300;OFF
84,6661152;55,1;300;OFF
85,4451047;55,58;300;OFF
86,2503433;55,77;300;OFF
87,0490969;55,77;300;OFF
87,8181246;55,66;300;OFF
88,5849416;55,37;300;OFF
89,3746269;55,29;300;OFF
90,1491805;55,29;300;OFF
90,9571958;55,34;300;OFF
91,7444502;55,29;300;OFF
92,5259989;55,27;300;OFF
93,2991415;55,3;300;OFF
94,062686;55,34;300;OFF
94,8546828;55,42;300;OFF
95,6352332;55,63;300;OFF
96,4403868;55,75;300;OFF
97,2121018;55,86;300;OFF
98,0009114;55,87;300;OFF
98,7752654;55,95;300;OFF
99,5740533;55,89;300;OFF
100,3496283;55,96;300;OFF
101,1466035;55,93;300;OFF
101,9353652;55,88;300;OFF
102,733856;55,75;300;OFF
103,5314821;55,74;300;OFF
104,297285;55,7;300;OFF
105,0588917;55,71;300;OFF
105,8370853;55,74;300;OFF
106,6482806;55,72;300;OFF
107,4193012;55,71;300;OFF
108,2061527;55,69;300;OFF
108,9909633;55,75;300;OFF
109,7412113;55,82;300;OFF
110,5162905;55,79;300;OFF
111,2994145;55,73;300;OFF
112,1095915;55,75;300;OFF
112,8837392;55,72;300;OFF
113,6410302;55,77;300;OFF
114,4280996;55,78;300;OFF
115,182203;55,82;300;OFF
115,9700249;55,82;300;OFF
116,7659002;55,83;300;OFF
117,5100185;55,97;300;OFF
118,3037397;56;300;OFF
119,0709668;56,05;300;OFF
119,8495809;56,03;300;OFF
120,6528738;56,14;300;OFF
121,466887;56,14;300;OFF
122,2506967;56,17;300;OFF
123,0133871;56,14;300;OFF
123,7703851;56,1;300;OFF
124,5616256;56,03;300;OFF
125,3471899;56,06;300;OFF
126,1525131;56;300;OFF
126,9026183;55,92;300;OFF
127,6831989;55,84;300;OFF
128,4917508;55,79;300;OFF
129,27517;55,83;300;OFF
130,0400731;55,92;300;OFF
130,8337135;56;300;OFF
131,6107784;56,01;300;OFF
132,399417;56,18;300;OFF
133,181941;56,23;300;OFF
133,9293258;56,29;300;OFF
134,7294957;56,27;300;OFF
135,5386003;56,12;300;OFF
136,3207781;56,06;300;OFF
137,1167795;56,07;300;OFF
137,938191;56,03;300;OFF
138,755809;56,17;300;OFF
139,5349113;56,19;300;OFF
140,3166304;56,25;300;OFF
141,089824;56,29;300;OFF
141,8555936;56,29;300;OFF
142,6485709;56,34;300;OFF
143,457614;56,38;300;OFF
144,2459732;56,28;300;OFF
145,0332653;56,25;300;OFF
145,8270994;56,25;300;OFF
146,6415792;56,23;300;OFF
147,4287241;56,25;300;OFF
148,2300003;56,34;300;OFF
149,0120059;56,36;300;OFF
149,7946194;56,36;300;OFF
150,6074485;56,36;300;OFF
151,3994562;56,38;300;OFF
152,2056244;56,43;300;OFF
152,9769792;56,5;300;OFF
153,789678;56,51;300;OFF
154,5913892;56,52;300;OFF
155,3605352;56,5;300;OFF
156,1696492;56,43;300;OFF
156,9713317;56,36;300;OFF
157,7560261;56,29;300;OFF
158,5228948;56,33;300;OFF
159,3272827;56,43;300;OFF
160,1637344;56,42;300;OFF
160,9549768;56,54;300;OFF
161,732394;56,51;300;OFF
162,5335751;56,49;300;OFF
163,330363;56,5;300;OFF
164,119122;56,49;300;OFF
164,9232588;56,55;300;OFF
165,6949632;56,57;300;OFF
166,5015173;56,63;300;OFF
167,2899886;56,57;300;OFF
168,0518695;56,55;300;OFF
168,8392156;56,55;300;OFF
169,6046212;56,52;300;OFF
170,3917037;56,5;300;OFF
171,1985727;56,5;300;OFF
171,9857802;56,57;300;OFF
172,7616626;56,53;300;OFF
173,5222046;56,62;300;OFF
174,3050994;56,67;300;OFF
175,1080336;56,68;300;OFF
175,9022762;56,63;300;OFF
176,6758735;56,66;300;OFF
177,4788008;56,55;300;OFF
178,2376558;56,59;300;OFF
179,0110963;56,64;300;OFF
179,7849197;56,59;300;OFF
180,5630472;56,64;300;OFF
181,3508849;56,69;300;OFF
182,1270516;56,71;300;OFF
182,9129727;56,79;300;OFF
183,674348;56,78;300;OFF
184,484912;56,71;300;OFF
185,2798683;56,82;300;OFF
186,0533858;56,8;300;OFF
186,861411;56,75;300;OFF
187,658809;56,69;300;OFF
188,4493997;56,75;300;OFF
189,2412126;56,75;300;OFF
190,034654;56,8;300;OFF
190,8478059;56,85;300;OFF
191,6363418;56,89;300;OFF
192,4173785;56,93;300;OFF
193,1945794;56,95;300;OFF
193,9621538;57,01;300;OFF
194,7287941;56,98;300;OFF
195,514966;56,91;300;OFF
196,3079154;56,96;300;OFF
197,1030397;56,95;300;OFF
197,8953419;56,84;300;OFF
198,6821013;56,81;300;OFF
199,4736978;56,72;300;OFF
200,2590137;56,75;300;OFF
201,0443061;56,75;300;OFF
201,8512517;56,89;300;OFF
202,647883;56,96;300;OFF
203,4714667;56,96;300;OFF
204,267874;57;300;OFF
205,0379401;57,03;300;OFF
205,829406;57,03;300;OFF
206,6300026;57,09;300;OFF
207,4040809;57,07;300;OFF
208,19849;57,08;300;OFF
208,9943593;57,07;300;OFF
209,7574322;57,03;300;OFF
210,5162414;57,03;300;OFF
211,2841731;57,01;300;OFF
212,0662168;56,94;300;OFF
212,8606161;56,91;300;OFF
213,6242509;56,87;300;OFF
214,4039748;56,91;300;OFF
215,1803476;56,85;300;OFF
215,9383621;56,99;300;OFF
216,71921;57,06;300;OFF
217,4917628;57,19;300;OFF
218,274413;57,1;300;OFF
219,0495073;57,17;300;OFF
219,8348723;57,17;300;OFF
220,5973297;57,14;300;OFF
221,3674279;57,17;300;OFF
222,1629113;57,07;300;OFF
222,959533;57,13;300;OFF
223,7590369;57,17;300;OFF
224,5170404;57,18;300;OFF
225,3006926;57,17;300;OFF
226,0713731;57,21;300;OFF
226,8588906;57,14;300;OFF
227,6502225;57,21;300;OFF
228,4518763;57,25;300;OFF
229,253251;57,23;300;OFF
230,002623;57,17;300;OFF
230,7827819;57,25;300;OFF
231,575823;57,26;300;OFF
232,3737358;57,25;300;OFF
233,1396353;57,23;300;OFF
233,9032232;57,3;300;OFF
234,7018835;57,26;300;OFF
235,5164333;57,31;300;OFF
236,3159046;57,35;300;OFF
237,0880135;57,44;300;OFF
237,865314;57,28;300;OFF
238,6607592;57,28;300;OFF
239,4321639;57,33;300;OFF
240,1943317;57,28;300;OFF
240,9745389;57,17;300;OFF
241,7382854;57,23;300;OFF
242,5264029;57,31;300;OFF
243,3179304;57,25;300;OFF
244,0935662;57,19;300;OFF
244,8747717;57,18;300;OFF
245,6207854;57,21;300;OFF
246,4232122;57,24;300;OFF
247,2212419;57,28;300;OFF
247,9733782;57,32;300;OFF
248,803243;57,44;300;OFF
249,5929282;57,53;300;OFF
250,3819754;57,5;300;OFF
251,1836828;57,58;300;OFF
251,9791156;57,53;300;OFF
252,7437018;57,6;300;OFF
253,5557021;57,48;300;OFF
254,3387023;57,4;300;OFF
255,1219554;57,32;300;OFF
255,8966646;57,39;300;OFF
256,7019137;57,4;300;OFF
257,469854;57,32;300;OFF
258,260808;57,35;300;OFF
259,0186011;57,37;300;OFF
259,796709;57,36;300;OFF
260,5675899;57,42;300;OFF
261,3362514;57,48;300;OFF
262,1189257;57,33;300;OFF
262,8784697;57,35;300;OFF
263,6358914;57,41;300;OFF
264,4222814;57,35;300;OFF
265,2236279;57,39;300;OFF
266,0212604;57,44;300;OFF
266,7868779;57,42;300;OFF
267,5621134;57,35;300;OFF
268,382154;57,46;300;OFF
269,2023051;57,41;300;OFF
269,9770819;57,5;300;OFF
270,7562213;57,5;300;OFF
271,5505983;57,57;300;OFF
272,3487236;57,57;300;OFF
273,1238924;57,59;300;OFF
273,9382831;57,4;300;OFF
274,7053671;57,59;300;OFF
275,4728301;57,44;300;OFF
276,2757069;57,5;300;OFF
277,0652022;57,55;300;OFF
277,8880048;57,57;300;OFF
278,666275;57,62;300;OFF
279,4400251;57,59;300;OFF
280,2018139;57,57;300;OFF
280,9865365;57,64;300;OFF
281,7713789;57,6;300;OFF
282,5365825;57,6;300;OFF
283,3185794;57,5;300;OFF
284,1054653;57,51;300;OFF
284,9064934;57,53;300;OFF
285,6849796;57,49;300;OFF
286,4582555;57,48;300;OFF
287,2328715;57,57;300;OFF
288,0070422;57,6;300;OFF
288,7842046;57,5;300;OFF
289,5802491;57,59;300;OFF
290,3859513;57,55;300;OFF
291,1645711;57,57;300;OFF
291,9407318;57,51;300;OFF
292,7042215;57,53;300;OFF
293,4781922;57,6;300;OFF
294,258086;57,67;300;OFF
295,0157746;57,67;300;OFF
295,7959368;57,67;300;OFF
296,5917838;57,6;300;OFF
297,3851893;57,65;300;OFF
298,1871618;57,65;300;OFF
298,9409677;57,67;300;OFF
299,7536254;57,63;300;OFF
