TIME;TEMPERATURE;VOLUME;HEATING
0;22,91;300;ON
0,8418542;22,91;300;ON
1,63966;22,9;300;ON
2,4014065;22,93;300;ON
3,1747515;22,92;300;ON
3,9578053;22,91;300;ON
4,7530126;22,88;300;ON
5,5519705;22,9;300;ON
6,3493346;22,9;300;ON
7,1294391;22,93;300;ON
7,8958687;22,86;300;ON
8,6817222;22,95;300;ON
9,4265889;22,87;300;ON
10,198455;22,93;300;ON
10,9868319;22,95;300;ON
11,7453613;22,89;300;ON
12,5147221;22,95;300;ON
13,2826805;22,91;300;ON
14,0385768;22,91;300;ON
14,847866;22,95;300;ON
15,62775;22,92;300;ON
16,3917789;22,96;300;ON
17,1754636;22,97;300;ON
17,9409161;22,99;300;ON
18,7008279;22,96;300;ON
19,4731338;23,04;300;ON
20,2602677;23,18;300;ON
21,0141854;23,18;300;ON
21,8060349;23,42;300;ON
22,5812644;23,68;300;ON
23,3379317;23,86;300;ON
24,126127;23,97;300;ON
24,9032776;24;300;ON
25,6826994;24,1;300;ON
26,4772607;24,06;300;ON
27,256772;24,1;300;ON
28,0293842;24;300;ON
28,7918144;23,95;300;ON
29,556079;23,92;300;ON
30,3498519;23,87;300;ON
31,1264324;23,88;300;ON
31,9043477;23,84;300;ON
32,7084595;23,82;300;ON
33,5033256;23,69;300;ON
34,2362686;23,75;300;ON
35,007114;23,74;300;ON
35,8021873;23,71;300;ON
36,6054338;23,75;300;ON
37,3970402;23,82;300;ON
38,1980389;23,84;300;ON
38,9774078;23,87;300;ON
39,7692071;23,92;300;ON
40,541672;23,99;300;ON
41,3215465;23,99;300;ON
42,1131079;24,01;300;ON
42,8966027;24,1;300;ON
43,696892;24,17;300;ON
44,5134587;24,21;300;ON
45,2777705;24,21;300;ON
46,0367481;24,36;300;ON
46,8263616;24,47;300;ON
47,601783;24,49;300;ON
48,3796446;24,69;300;ON
49,1727957;24,92;300;ON
49,9481211;25,03;300;ON
50,7448448;25,23;300;ON
51,5262561;25,32;300;ON
52,3071123;25,4;300;ON
53,0638732;25,48;300;ON
53,8592188;25,57;300;ON
54,6892089;25,64;300;ON
55,4755873;25,77;300;ON
56,2771407;25,98;300;ON
57,0729019;26,19;300;ON
57,8320937;26,46;300;ON
58,6303897;26,67;300;ON
59,3933406;26,8;300;ON
60,1980155;26,96;300;ON
60,9738087;27,16;300;ON
61,7767969;27,3;300;ON
62,5773296;27,5;300;ON
63,3828997;27,64;300;ON
64,1639153;27,64;300;ON
64,9126209;27,7;300;ON
65,7524769;27,83;300;ON
66,5135308;27,98;300;ON
67,3169536;28,11;300;ON
68,0932139;28,25;300;ON
68,8620321;28,52;300;ON
69,6656814;28,83;300;ON
70,4598486;29,11;300;ON
71,2344649;29,14;300;ON
72,0196067;29,26;300;ON
72,7689247;29,45;300;ON
73,5313878;29,78;300;ON
74,2946321;30,03;300;ON
75,0536132;30,27;300;ON
75,8512752;30,42;300;ON
76,6290961;30,72;300;ON
77,4327424;30,98;300;ON
78,1986011;31,12;300;ON
78,9601089;31,22;300;ON
79,7457019;31,24;300;ON
80,5150431;31,37;300;ON
81,2690461;31,29;300;ON
82,0676222;31,17;300;ON
82,8632143;31,24;300;ON
83,6431436;31,28;300;ON
84,4030905;31,5;300;ON
85,1930657;31,92;300;ON
85,9763377;32,41;300;ON
86,7609581;32,7;300;ON
87,5182823;33,01;300;ON
88,2841074;33,21;300;ON
89,0920661;33,52;300;ON
89,8828493;33,92;300;ON
90,670593;34,29;300;ON
91,4226209;34,6;300;ON
92,2241694;34,92;300;ON
92,9966652;35,2;300;ON
93,7737879;35,72;300;ON
94,5487041;36,06;300;ON
95,3287882;36,08;300;ON
96,0773347;36,14;300;ON
96,8696355;36,36;300;ON
97,6632306;36,84;300;ON
98,4433279;37,42;300;ON
99,2349527;38,08;300;ON
99,9977715;39,69;300;ON
100,796689;40,42;300;ON
101,583408;41,24;300;ON
102,3680989;43,39;300;ON
103,1610668;48,1;300;ON
103,9421538;57,46;300;ON
104,7496416;56,01;300;OFF
105,5120458;51,58;300;OFF
106,2858858;52,39;300;OFF
107,0623198;55,92;300;OFF
107,8224537;59,42;300;OFF
108,6172351;54,89;300;OFF
109,4080621;50,95;300;OFF
110,1865234;51,06;300;OFF
110,9475385;52,87;300;OFF
111,7422897;53,5;300;OFF
112,5539709;52,34;300;OFF
113,3563512;52,39;300;OFF
114,1163321;52,71;300;OFF
114,897916;53,75;300;OFF
115,7142652;54,85;300;OFF
116,5130302;56,18;300;OFF
117,3105483;57,25;300;OFF
118,0730666;57,72;300;OFF
118,8494458;57,8;300;OFF
119,6232322;57,58;300;OFF
120,4064672;57,21;300;OFF
121,2032317;57,06;300;OFF
121,9829511;57,07;300;OFF
122,7847129;57,17;300;OFF
123,5544029;57,28;300;OFF
124,3359207;57,03;300;OFF
125,124554;56,77;300;OFF
125,9248594;56,84;300;OFF
126,6940899;57,14;300;OFF
127,4730348;57,38;300;OFF
128,2717786;57,37;300;OFF
129,0749983;57,57;300;OFF
129,8646695;57,59;300;OFF
130,6438984;57,73;300;OFF
131,3952417;57,85;300;OFF
132,2072488;57,96;300;OFF
133,0091428;58,03;300;OFF
133,7755599;58,03;300;OFF
134,5483809;58,06;300;OFF
135,3303132;58,25;300;OFF
136,1344458;58,66;300;OFF
136,9368665;58,58;300;OFF
137,7067891;58,68;300;OFF
138,5147315;58,92;300;OFF
139,2950467;59,18;300;OFF
140,080577;59,48;300;OFF
140,8593309;59,67;300;OFF
141,6317743;59,96;300;OFF
142,426467;60,04;300;OFF
143,2421963;59,96;300;OFF
144,0365967;59,93;300;OFF
144,8072394;59,75;300;OFF
145,5857501;59,75;300;OFF
146,3360891;59,78;300;OFF
147,1432661;59,92;300;OFF
147,9351938;60,13;300;OFF
148,7219505;60,18;300;OFF
149,5322396;60,25;300;OFF
150,3214548;60,25;300;OFF
151,0939706;60,35;300;OFF
151,8697556;60,56;300;OFF
152,6682392;60,47;300;OFF
153,4390087;60,57;300;OFF
154,2483112;60,67;300;OFF
155,0464622;60,78;300;OFF
155,8291659;60,71;300;OFF
156,608493;60,76;300;OFF
157,3936925;60,75;300;OFF
158,1657409;60,89;300;OFF
158,9896226;60,85;300;OFF
159,8069479;61,01;300;OFF
160,5906734;60,97;300;OFF
161,3764329;61,18;300;OFF
162,1748999;61,32;300;OFF
162,9827876;61,37;300;OFF
163,7659977;61,56;300;OFF
164,5719752;61,85;300;OFF
165,3272899;62;300;OFF
166,117833;62,1;300;OFF
166,9145054;62,07;300;OFF
167,7332727;62,04;300;OFF
168,5292239;62,08;300;OFF
169,3207192;62,06;300;OFF
170,0840274;61,97;300;OFF
170,8465434;61,89;300;OFF
171,6323697;61,91;300;OFF
172,4158732;61,87;300;OFF
173,2068376;61,96;300;OFF
174,0088366;62,17;300;OFF
174,8126626;62,39;300;OFF
175,6208542;62,39;300;OFF
176,3990655;62,44;300;OFF
177,1860223;62,31;300;OFF
177,9863893;62,28;300;OFF
178,8167186;62,23;300;OFF
179,5899994;62,51;300;OFF
180,3587583;62,65;300;OFF
181,1473195;62,73;300;OFF
181,9478424;62,81;300;OFF
182,7348495;62,81;300;OFF
183,5126084;62,96;300;OFF
184,2890288;63,05;300;OFF
185,0671333;63,08;300;OFF
185,8479427;63,03;300;OFF
186,6261702;63,15;300;OFF
187,4086323;63,27;300;OFF
188,1737018;63,32;300;OFF
188,9740957;63,29;300;OFF
189,7398071;63,24;300;OFF
190,5169665;63,11;300;OFF
191,3168671;63,12;300;OFF
192,1160969;63,26;300;OFF
192,9030911;63,37;300;OFF
193,6893162;63,43;300;OFF
194,483245;63,47;300;OFF
195,2599758;63,53;300;OFF
196,0522671;63,64;300;OFF
196,8187273;63,63;300;OFF
197,6181753;63,77;300;OFF
198,4139819;63,77;300;OFF
199,193523;63,87;300;OFF
199,9643518;63,87;300;OFF
200,7716648;63,79;300;OFF
201,5877981;63,78;300;OFF
202,3834525;63,82;300;OFF
203,1331915;63,75;300;OFF
203,9147867;63,74;300;OFF
204,7234778;63,78;300;OFF
205,5154025;63,82;300;OFF
206,3172194;64,03;300;OFF
207,124227;64,06;300;OFF
207,8779917;64,08;300;OFF
208,6549585;64,18;300;OFF
209,4676762;64,24;300;OFF
210,2783678;64,21;300;OFF
211,0728883;64,21;300;OFF
211,8554331;64,32;300;OFF
212,6482262;64,32;300;OFF
213,4304074;64,37;300;OFF
214,2601718;64,45;300;OFF
215,0475017;64,52;300;OFF
215,838516;64,53;300;OFF
216,6216354;64,57;300;OFF
217,3955034;64,57;300;OFF
218,188614;64,57;300;OFF
218,9955668;64,64;300;OFF
219,7913383;64,71;300;OFF
220,5761652;64,66;300;OFF
221,3590373;64,58;300;OFF
222,1667944;64,57;300;OFF
222,9447349;64,57;300;OFF
223,7297699;64,67;300;OFF
224,5140485;64,76;300;OFF
225,3280968;64,76;300;OFF
226,1177175;64,78;300;OFF
226,9070644;64,82;300;OFF
227,6818627;64,92;300;OFF
228,4562623;64,88;300;OFF
229,2192533;64,94;300;OFF
230,0157195;65,03;300;OFF
230,8180314;65;300;OFF
231,6208523;65,08;300;OFF
232,4305026;65,08;300;OFF
233,2022916;65,23;300;OFF
234,006713;65,18;300;OFF
234,7750264;65,19;300;OFF
235,5792678;65,15;300;OFF
236,3523137;65,21;300;OFF
237,1056239;65,21;300;OFF
237,8651846;65,17;300;OFF
238,6440003;65,18;300;OFF
239,4018151;65,27;300;OFF
240,1718966;65,22;300;OFF
240,9945043;65,23;300;OFF
241,7922868;65,3;300;OFF
242,571701;65,28;300;OFF
243,3580054;65,31;300;OFF
244,1497787;65,35;300;OFF
244,95563;65,46;300;OFF
245,7245173;65,46;300;OFF
246,4986866;65,5;300;OFF
247,2803864;65,54;300;OFF
248,0688584;65,46;300;OFF
248,8524971;65,56;300;OFF
249,6399504;65,61;300;OFF
250,4314231;65,66;300;OFF
251,2128929;65,64;300;OFF
252,0101777;65,57;300;OFF
252,797207;65,61;300;OFF
253,5649408;65,47;300;OFF
254,3500898;65,53;300;OFF
255,1296071;65,57;300;OFF
255,9122773;65,66;300;OFF
256,7184696;65,69;300;OFF
257,5196484;65,64;300;OFF
258,3002936;65,72;300;OFF
259,087745;65,71;300;OFF
259,8773925;65,85;300;OFF
260,641093;65,82;300;OFF
261,4342361;65,92;300;OFF
262,2186729;65,85;300;OFF
263,0009802;65,85;300;OFF
263,7822035;65,89;300;OFF
264,5911827;65,96;300;OFF
265,372739;65,94;300;OFF
266,154594;65,93;300;OFF
266,9355722;66,01;300;OFF
267,7057323;65,94;300;OFF
268,4858628;66;300;OFF
269,3027067;65,85;300;OFF
270,0940201;65,85;300;OFF
270,8538254;65,82;300;OFF
271,6572855;65,92;300;OFF
272,4601352;65,97;300;OFF
273,2563665;66,03;300;OFF
274,0269439;66,05;300;OFF
274,8124761;66,16;300;OFF
275,5984595;66,15;300;OFF
276,3724162;66,17;300;OFF
277,1762724;66,22;300;OFF
277,9490375;66,3;300;OFF
278,7350466;66,28;300;OFF
279,5160621;66,27;300;OFF
280,2775643;66,2;300;OFF
281,0608008;66,21;300;OFF
281,8696344;66,17;300;OFF
282,6403499;66,23;300;OFF
283,406531;66,25;300;OFF
284,1842439;66,3;300;OFF
284,9825992;66,35;300;OFF
285,7529326;66,37;300;OFF
286,5549764;66,35;300;OFF
287,3610646;66,34;300;OFF
288,1258404;66,32;300;OFF
288,9162725;66,32;300;OFF
289,7025636;66,3;300;OFF
290,4793911;66,32;300;OFF
291,2659125;66,36;300;OFF
292,0421377;66,34;300;OFF
292,8357283;66,35;300;OFF
293,6412244;66,37;300;OFF
294,4174114;66,46;300;OFF
295,2106788;66,5;300;OFF
295,9673724;66,53;300;OFF
296,7517304;66,52;300;OFF
297,524398;66,53;300;OFF
298,3439001;66,48;300;OFF
299,1272352;66,49;300;OFF
299,9378195;66,5;300;OFF
300,7239846;66,53;300;OFF
301,5410671;66,54;300;OFF
302,3105831;66,64;300;OFF
303,1052765;66,65;300;OFF
303,918291;66,64;300;OFF
304,7084626;66,64;300;OFF
305,5171371;66,57;300;OFF
306,3061718;66,54;300;OFF
307,1009457;66,6;300;OFF
307,9063406;66,59;300;OFF
308,7083263;66,6;300;OFF
309,4690276;66,58;300;OFF
310,2378605;66,67;300;OFF
311,0322451;66,71;300;OFF
311,8520187;66,72;300;OFF
312,6623006;66,72;300;OFF
313,4476969;66,8;300;OFF
314,2549045;66,67;300;OFF
315,0736922;66,72;300;OFF
315,8395796;66,72;300;OFF
316,6288435;66,71;300;OFF
317,4285203;66,71;300;OFF
318,2287313;66,74;300;OFF
318,9985346;66,73;300;OFF
319,7917238;66,75;300;OFF
320,5910513;66,8;300;OFF
321,3943291;66,8;300;OFF
322,169633;66,89;300;OFF
322,9542862;66,89;300;OFF
323,7670489;66,88;300;OFF
324,5617072;66,83;300;OFF
325,3461429;66,85;300;OFF
326,1526132;66,88;300;OFF
326,937832;66,88;300;OFF
327,7312232;66,85;300;OFF
328,4979462;66,85;300;OFF
329,2927975;66,9;300;OFF
330,0952937;67,03;300;OFF
330,8857782;66,96;300;OFF
331,6479317;66,93;300;OFF
332,4374051;66,89;300;OFF
333,2306808;66,88;300;OFF
333,9870399;66,88;300;OFF
334,7922683;66,82;300;OFF
335,5785489;66,81;300;OFF
336,3348495;66,81;300;OFF
337,1100367;66,83;300;OFF
337,8880698;66,91;300;OFF
338,6867184;66,9;300;OFF
339,511251;66,94;300;OFF
340,2791766;67;300;OFF
341,0608541;67;300;OFF
341,8699232;67,07;300;OFF
342,6607937;67,11;300;OFF
343,462722;67,08;300;OFF
344,2454374;67,07;300;OFF
345,0595963;67,09;300;OFF
345,8485411;67,03;300;OFF
346,6064333;67,08;300;OFF
347,4104213;67,06;300;OFF
348,1849285;67,05;300;OFF
348,9865192;67,01;300;OFF
349,7392706;67;300;OFF
350,5260718;66,96;300;OFF
351,2810811;67,09;300;OFF
352,0350872;67,07;300;OFF
352,8492521;67,1;300;OFF
353,5852124;67,11;300;OFF
354,3412246;67,17;300;OFF
355,0781832;67,11;300;OFF
355,8151425;67,16;300;OFF
356,5681465;67,16;300;OFF
357,3171394;67,03;300;OFF
358,0540999;67,08;300;OFF
358,7950718;67,07;300;OFF
359,5500819;67,08;300;OFF
360,3040883;67,03;300;OFF
361,0590972;67,07;300;OFF
361,8151089;67,1;300;OFF
362,5731257;67,16;300;OFF
363,3110868;67,15;300;OFF
364,0811355;67,21;300;OFF
364,8421596;67,07;300;OFF
365,5741077;67,11;300;OFF
366,3361363;67,12;300;OFF
367,1071863;67,14;300;OFF
367,8682245;67,17;300;OFF
368,6101913;67,21;300;OFF
369,3601807;67,21;300;OFF
370,1031594;67,1;300;OFF
370,8531548;67,14;300;OFF
371,6021462;67,16;300;OFF
372,3762045;67,13;300;OFF
373,1191855;67,16;300;OFF
373,8792038;67,22;300;OFF
374,6773283;67,18;300;OFF
375,428325;67,21;300;OFF
376,1793233;67,25;300;OFF
376,9563901;67,21;300;OFF
377,732456;67,16;300;OFF
378,5115289;67,11;300;OFF
379,2555071;67,16;300;OFF
380,0034979;67,08;300;OFF
380,7524897;67,12;300;OFF
381,5355725;67,17;300;OFF
382,3346988;67,17;300;OFF
383,0867022;67,17;300;OFF
383,8236608;67,17;300;OFF
384,5806739;67,22;300;OFF
385,3256588;67,17;300;OFF
386,069637;67,15;300;OFF
386,819632;67,18;300;OFF
387,5806565;67,22;300;OFF
388,318621;67,18;300;OFF
389,0726271;67,21;300;OFF
389,8095868;67,23;300;OFF
390,6327809;67,17;300;OFF
391,4409302;67,14;300;OFF
392,2681263;67,13;300;OFF
393,1203949;67,24;300;OFF
393,8974621;67,19;300;OFF
394,7046105;67,23;300;OFF
395,4646333;67,21;300;OFF
396,2567392;67,22;300;OFF
397,0829384;67,26;300;OFF
397,8409529;67,23;300;OFF
398,6511091;67,24;300;OFF
399,4452532;67,25;300;OFF
400,2427286;67,28;300;OFF
401,03888;67,32;300;OFF
401,8979175;67,36;300;OFF
402,700425;67,28;300;OFF
403,5078248;67,32;300;OFF
404,2577889;67,28;300;OFF
405,0145777;67,26;300;OFF
405,8071605;67,18;300;OFF
406,605134;67,16;300;OFF
407,3913957;67,18;300;OFF
408,1447923;67,21;300;OFF
408,9113156;67,15;300;OFF
409,6707626;67,18;300;OFF
410,4750092;67,16;300;OFF
411,2617214;67,21;300;OFF
412,0515055;67,17;300;OFF
412,8601899;67,24;300;OFF
413,647399;67,21;300;OFF
414,4076056;67,27;300;OFF
415,2057185;67,27;300;OFF
415,9653275;67,29;300;OFF
416,7409323;67,28;300;OFF
417,5216972;67,35;300;OFF
418,3297789;67,28;300;OFF
419,0803305;67,32;300;OFF
419,854963;67,32;300;OFF
420,6551065;67,35;300;OFF
421,4821376;67,33;300;OFF
422,2675441;67,28;300;OFF
423,0573596;67,36;300;OFF
423,8332389;67,23;300;OFF
424,6386119;67,19;300;OFF
425,4361448;67,16;300;OFF
426,2162054;67,19;300;OFF
426,9994778;67,21;300;OFF
427,8202305;67,21;300;OFF
428,5768229;67,17;300;OFF
429,3583615;67,17;300;OFF
430,1674748;67,14;300;OFF
430,9392426;67,21;300;OFF
431,7553412;67,24;300;OFF
432,5553752;67,24;300;OFF
433,3436018;67,25;300;OFF
434,1493512;67,21;300;OFF
434,9278533;67,28;300;OFF
435,7249595;67,29;300;OFF
436,4890118;67,39;300;OFF
437,296076;67,38;300;OFF
438,0562423;67,38;300;OFF
438,8653496;67,35;300;OFF
439,6595896;67,31;300;OFF
440,4394648;67,21;300;OFF
441,2422763;67,24;300;OFF
442,0380508;67,23;300;OFF
442,8056056;67,23;300;OFF
443,5776026;67,23;300;OFF
444,3308626;67,24;300;OFF
445,1052867;67,27;300;OFF
445,8941454;67,29;300;OFF
446,6938033;67,28;300;OFF
447,4491449;67,28;300;OFF
448,2385987;67,26;300;OFF
449,0369781;67,29;300;OFF
449,8125735;67,25;300;OFF
450,6156946;67,25;300;OFF
451,4043229;67,24;300;OFF
452,165187;67,25;300;OFF
452,9298295;67,19;300;OFF
453,7044058;67,17;300;OFF
454,4765229;67,23;300;OFF
455,2242075;67,22;300;OFF
456,0160132;67,22;300;OFF
456,7949336;67,22;300;OFF
457,5907934;67,23;300;OFF
458,4126977;67,17;300;OFF
459,2192857;67,25;300;OFF
460,0101785;67,17;300;OFF
460,7917242;67,23;300;OFF
461,579833;67,23;300;OFF
462,3808985;67,24;300;OFF
463,172659;67,24;300;OFF
463,9431649;67,22;300;OFF
464,7405898;67,24;300;OFF
465,5319712;67,21;300;OFF
466,2968451;67,25;300;OFF
467,0869264;67,26;300;OFF
467,8956618;67,28;300;OFF
468,6611452;67,32;300;OFF
469,4381784;67,22;300;OFF
470,1861726;67,25;300;OFF
470,9876569;67,16;300;OFF
471,7442173;67,25;300;OFF
472,5206811;67,18;300;OFF
473,2984835;67,19;300;OFF
474,0666273;67,24;300;OFF
474,8963267;67,17;300;OFF
475,6830763;67,22;300;OFF
476,4793541;67,19;300;OFF
477,2797902;67,21;300;OFF
478,0823758;67,15;300;OFF
478,8538503;67,18;300;OFF
479,6373262;67,17;300;OFF
480,382916;67,12;300;OFF
481,1653248;67,16;300;OFF
481,9292277;67,23;300;OFF
482,7155788;67,19;300;OFF
483,4925411;67,17;300;OFF
484,3101764;67,19;300;OFF
485,1081129;67,16;300;OFF
485,9060834;67,19;300;OFF
486,6923429;67,31;300;OFF
487,4910927;67,19;300;OFF
488,275337;67,18;300;OFF
489,0447668;67,11;300;OFF
489,8280037;67,18;300;OFF
490,613093;67,19;300;OFF
491,3946282;67,15;300;OFF
492,1662571;67,21;300;OFF
492,9689666;67,17;300;OFF
493,7256878;67,21;300;OFF
494,5030839;67,27;300;OFF
495,2841354;67,16;300;OFF
496,0748925;67,18;300;OFF
496,8138565;67,17;300;OFF
497,5997584;67,13;300;OFF
498,4170067;67,18;300;OFF
499,2033624;67,16;300;OFF
500,0093399;67,13;300;OFF
500,7825078;67,13;300;OFF
501,5463042;67,16;300;OFF
502,3454992;67,1;300;OFF
503,1279125;67,17;300;OFF
503,9337379;67,12;300;OFF
504,7108406;67,03;300;OFF
505,5074824;67,15;300;OFF
506,2834319;67,15;300;OFF
507,0676494;67,15;300;OFF
507,8616481;67,15;300;OFF
508,6380697;67,13;300;OFF
509,4253875;67,18;300;OFF
510,2126917;67,08;300;OFF
510,9836277;67,05;300;OFF
511,7628551;67,11;300;OFF
512,523593;67,01;300;OFF
513,3201997;67,03;300;OFF
514,1201291;67,08;300;OFF
514,9179206;67,01;300;OFF
515,6891244;67,03;300;OFF
516,4807228;67;300;OFF
517,2621046;66,98;300;OFF
518,0543642;67,03;300;OFF
518,839327;67,07;300;OFF
519,6119739;67,03;300;OFF
520,3838233;67,03;300;OFF
521,1869753;67,07;300;OFF
521,968057;67,07;300;OFF
522,7497435;67,1;300;OFF
523,5474275;67,01;300;OFF
524,3321415;67,06;300;OFF
525,123118;67,01;300;OFF
525,8958559;66,99;300;OFF
526,6941571;67,07;300;OFF
527,4586377;66,96;300;OFF
528,2278315;67,03;300;OFF
529,0407807;67,03;300;OFF
529,8240893;67;300;OFF
530,6325306;67;300;OFF
531,4347681;67,03;300;OFF
532,2209531;67,03;300;OFF
533,0244201;67;300;OFF
533,839179;67;300;OFF
534,6350819;67,01;300;OFF
535,4075513;67,03;300;OFF
536,1801475;66,89;300;OFF
536,9248168;66,95;300;OFF
537,6807213;67;300;OFF
538,4389196;66,94;300;OFF
539,2209044;66,99;300;OFF
540,0289979;66,96;300;OFF
540,8235626;67;300;OFF
541,631402;66,99;300;OFF
542,4193292;66,89;300;OFF
543,2151848;66,89;300;OFF
544,0186941;66,95;300;OFF
544,8527466;66,89;300;OFF
545,6229566;66,92;300;OFF
546,4137598;66,89;300;OFF
547,1984172;66,91;300;OFF
548,0212756;66,91;300;OFF
548,8043267;66,87;300;OFF
549,5905171;66,85;300;OFF
550,3979267;66,85;300;OFF
551,1927123;66,83;300;OFF
551,9839985;66,85;300;OFF
552,7808313;66,85;300;OFF
553,5475717;66,85;300;OFF
554,3668182;66,92;300;OFF
555,1619662;66,85;300;OFF
555,9558343;66,93;300;OFF
556,7315804;66,85;300;OFF
557,5188951;66,89;300;OFF
558,3270664;66,9;300;OFF
559,1169612;66,83;300;OFF
559,9064855;66,85;300;OFF
560,7488728;66,82;300;OFF
561,5381835;66,83;300;OFF
562,3096127;66,85;300;OFF
563,1017352;66,81;300;OFF
563,911069;66,78;300;OFF
564,7104181;66,83;300;OFF
565,511487;66,77;300;OFF
566,3152658;66,73;300;OFF
567,0809316;66,77;300;OFF
567,8502973;66,82;300;OFF
568,6714369;66,72;300;OFF
569,4427619;66,73;300;OFF
570,1997856;66,68;300;OFF
570,9482208;66,74;300;OFF
571,7478704;66,72;300;OFF
572,5384693;66,67;300;OFF
573,3038833;66,75;300;OFF
574,1083984;66,73;300;OFF
574,9175611;66,73;300;OFF
575,7224844;66,69;300;OFF
576,4794432;66,78;300;OFF
577,2800428;66,79;300;OFF
578,0870537;66,73;300;OFF
578,8600241;66,72;300;OFF
