TIME;TEMPERATURE;VOLUME;HEATING
0;13,92;400;ON
0,7674241;13,9;400;ON
1,5464283;13,85;400;ON
2,3015834;13,92;400;ON
3,0654786;13,9;400;ON
3,8575687;14;400;ON
4,6696909;13,94;400;ON
5,4488216;14,03;400;ON
6,2365872;14;400;ON
7,0248618;14,06;400;ON
7,8052412;14,07;400;ON
8,5830012;14,12;400;ON
9,388011;14,12;400;ON
10,1903947;14,1;400;ON
10,9738853;14,16;400;ON
11,7545494;14,19;400;ON
12,5230402;14,25;400;ON
13,3349347;14,25;400;ON
14,1333614;14,25;400;ON
14,9287454;14,28;400;ON
15,6929654;14,35;400;ON
16,4952827;14,33;400;ON
17,2534417;14,34;400;ON
18,0453883;14,42;400;ON
18,8570718;14,38;400;ON
19,6414407;14,42;400;ON
20,3904641;14,52;400;ON
21,143297;14,47;400;ON
21,8896514;14,62;400;ON
22,6344886;14,66;400;ON
23,4256215;14,79;400;ON
24,202307;14,92;400;ON
24,9919122;14,89;400;ON
25,7875062;15,03;400;ON
26,5623864;15,23;400;ON
27,3092834;15,33;400;ON
28,0426912;15,57;400;ON
28,7777076;15,71;400;ON
29,5436195;16,03;400;ON
30,3413302;16,28;400;ON
31,1126665;16,62;400;ON
31,8900724;16,8;400;ON
32,6546556;17,03;400;ON
33,4353291;17,34;400;ON
34,1905687;17,6;400;ON
34,9625707;17,95;400;ON
35,7640059;18,34;400;ON
36,5198394;18,5;400;ON
37,2920585;19,12;400;ON
38,0827564;19,57;400;ON
38,8619056;20,04;400;ON
39,6501938;20,6;400;ON
40,441381;21,22;400;ON
41,2024425;21,63;400;ON
42,0063875;22,19;400;ON
42,7601172;22,66;400;ON
43,531381;22,96;400;ON
44,294128;23,3;400;ON
45,0715177;23,6;400;ON
45,8461174;23,82;400;ON
46,636955;24,01;400;ON
47,4330459;24,13;400;ON
48,2039619;24,35;400;ON
48,9690715;24,82;400;ON
49,7602017;25,39;400;ON
50,5349117;25,9;400;ON
51,338077;26,36;400;ON
52,1243179;26,62;400;ON
52,895687;26,85;400;ON
53,7148485;26,95;400;ON
54,4764024;26,92;400;ON
55,2690743;26,84;400;ON
56,0598474;26,74;400;ON
56,8679103;26,75;400;ON
57,6349546;26,89;400;ON
58,4217453;27,1;400;ON
59,209603;27,11;400;ON
60,0388097;27,23;400;ON
60,9401163;27,23;400;ON
61,7577244;27,44;400;ON
62,5247295;27,98;400;ON
63,320342;28,74;400;ON
64,1122395;29,5;400;ON
64,8882672;30,16;400;ON
65,6747113;30,74;400;ON
66,4349855;31,12;400;ON
67,1890346;31,31;400;ON
67,9591906;31,17;400;ON
68,7814554;31,23;400;ON
69,5757853;31,42;400;ON
70,3489404;31,61;400;ON
71,1217666;31,55;400;ON
71,8953098;31,15;400;ON
72,6753082;30,86;400;ON
73,4654605;30,83;400;ON
74,2495624;31;400;ON
75,037163;31,23;400;ON
75,8384619;31,42;400;ON
76,6246598;31,78;400;ON
77,3863447;32,15;400;ON
78,1358813;32,09;400;ON
78,9475093;31,89;400;ON
79,7187648;31,41;400;ON
80,4842852;31,21;400;ON
81,234017;31,46;400;ON
82,0380628;31,48;400;ON
82,7872747;31,55;400;ON
83,5491994;31,78;400;ON
84,3094072;32,38;400;ON
85,0612055;33;400;ON
85,8466698;33,59;400;ON
86,6284564;34,21;400;ON
87,4108464;34,19;400;ON
88,1858909;33,55;400;ON
88,9631099;33,03;400;ON
89,7039538;33,11;400;ON
90,4555301;33,26;400;ON
91,2168514;33,79;400;ON
91,978425;34,19;400;ON
92,7639534;34,58;400;ON
93,5547593;34,57;400;ON
94,3513074;34,62;400;ON
95,1470574;34,92;400;ON
95,9493784;35,39;400;ON
96,737053;36;400;ON
97,5168308;36,52;400;ON
98,2995448;36,25;400;ON
99,0785622;35,79;400;ON
99,8138825;35,77;400;ON
100,5750026;36,06;400;ON
101,3594122;36,6;400;ON
102,1471318;37,33;400;ON
102,9231312;38,03;400;ON
103,7366437;38,84;400;ON
104,4770243;39,77;400;ON
105,2650263;40,59;400;ON
106,0393289;40,89;400;ON
106,8283065;40,57;400;ON
107,62818;40,21;400;ON
108,4100878;39,94;400;ON
109,1461689;39,91;400;ON
109,9067657;40,14;400;ON
110,6454351;40,66;400;ON
111,3967633;41,21;400;ON
112,1843039;41,89;400;ON
112,9366074;42,61;400;ON
113,7141727;42,78;400;ON
114,4763383;42,57;400;ON
115,2363471;43;400;ON
115,9938899;43,72;400;ON
116,752931;44,1;400;ON
117,5042079;44,77;400;ON
118,2973325;44,94;400;ON
119,0700304;45,23;400;ON
119,8287109;45,73;400;ON
120,615602;46,12;400;ON
121,398348;46,82;400;ON
122,1426925;47,16;400;ON
122,8942258;47,21;400;ON
123,6359031;47,33;400;ON
124,3922867;46,95;400;ON
125,1485783;46,88;400;ON
125,9155958;47,2;400;ON
126,7144974;49,07;400;ON
127,5132291;49,68;400;ON
128,2629537;51,07;400;ON
129,0596212;51,89;400;ON
129,8493302;51,79;400;ON
130,641276;50,93;400;ON
131,4158946;51,18;400;ON
132,1760145;51,54;400;ON
132,9770517;51,88;400;ON
133,7190352;51,96;400;ON
134,470468;51,57;400;ON
135,2436133;52,1;400;ON
136,0291878;52,9;400;ON
136,7970696;54,05;400;ON
137,6015024;56,13;400;ON
138,358526;57,71;400;ON
139,1616135;57,37;400;ON
139,9044213;56,6;400;ON
140,7153198;56,78;400;ON
141,4948545;56,62;400;ON
142,2745364;57,89;400;ON
143,0549796;59,78;400;ON
143,8130858;60,32;400;ON
144,5949034;61,38;400;ON
145,3639896;62,54;400;ON
146,148536;62,33;400;ON
146,9556281;62,04;400;ON
147,7230043;61,64;400;ON
148,5124362;62,82;400;ON
149,2951626;65,84;400;ON
150,0359744;69;400;ON
150,8184758;68,9;400;ON
151,5718199;69,46;400;ON
152,3614478;73,07;400;ON
153,16075;73,57;400;ON
153,9203948;73,57;400;ON
154,7000964;76,95;400;ON
155,4742181;78,28;400;ON
156,2369414;75,9;400;ON
157,0021518;78,64;400;ON
157,7386162;79,52;400;ON
158,5027184;82,2;400;ON
159,2876725;85,86;400;ON
160,0628518;88,55;400;ON
160,8009311;89,53;400;ON
161,5859426;91,61;400;ON
162,3448591;96,96;400;ON
163,203007;99,71;400;ON
163,9737611;101,64;400;ON
164,7503325;103,02;400;ON
165,525027;104,09;400;ON
166,3002784;104,76;400;ON
167,110904;105,15;400;ON
167,905005;105,91;400;ON
168,6816935;106,66;400;ON
169,4695021;106,86;400;ON
170,2382856;106,97;400;ON
171,0198804;107,64;400;ON
171,7875133;108,61;400;ON
172,5217662;109,22;400;ON
173,2742661;109,33;400;ON
174,0544687;110;400;ON
174,812928;110,76;400;ON
175,5995019;110,87;400;ON
176,3810284;111,22;400;ON
177,1230821;111,8;400;ON
177,9145718;111,71;400;ON
178,7031828;112,33;400;ON
179,4821708;112,74;400;ON
180,2459886;112,95;400;ON
181,0410329;113,59;400;ON
181,8264001;114,26;400;ON
182,63169;114,79;400;ON
183,3836779;114,77;400;ON
184,1278472;115,47;400;ON
184,9130328;116,07;400;ON
185,6985193;116,51;400;ON
186,5016929;117,13;400;ON
187,2668719;117,42;400;ON
188,0571167;117,92;400;ON
188,8087387;117,92;400;ON
189,543937;117,96;400;ON
190,3170431;118,12;400;ON
191,0896793;118,38;400;ON
191,8483753;119,1;400;ON
192,6687073;119,28;400;ON
193,4559288;119,45;400;ON
194,2496538;119,78;400;ON
195,0391193;119,8;400;ON
195,7906673;119,86;400;ON
196,5805908;120,03;400;ON
197,3460262;120,35;400;ON
198,1157755;120,42;400;ON
198,8950365;120,63;400;ON
199,7143377;120,7;400;ON
200,4779838;120,75;400;ON
201,2693084;120,76;400;ON
202,0382524;120,7;400;ON
202,8143205;120,71;400;ON
203,5471076;120,85;400;ON
204,3194195;120,89;400;ON
205,0898636;120,88;400;ON
205,8441434;121,01;400;ON
206,6220024;121,02;400;ON
207,3872883;121,14;400;ON
208,1429935;121,21;400;ON
208,898275;121,15;400;ON
209,6856256;121,35;400;ON
210,4955704;121,19;400;ON
211,2514749;121,02;400;ON
212,0467593;121,35;400;ON
212,8097246;121,46;400;ON
213,5875636;121,45;400;ON
214,3875201;121,48;400;ON
215,1552203;121,46;400;ON
215,951881;121,47;400;ON
216,735628;121,46;400;ON
217,4873478;121,63;400;ON
218,2403064;121,55;400;ON
219,0265927;121,41;400;ON
219,7818228;121,09;400;ON
220,5404501;120,88;400;ON
221,2877914;120,65;400;ON
222,0411458;120,42;400;ON
222,8107969;120,26;400;ON
223,6146033;119,86;400;ON
224,4133105;119,69;400;ON
225,1708443;119,62;400;ON
225,9619118;119,42;400;ON
226,692871;119,17;400;ON
227,4852488;118,96;400;ON
228,2328405;118,67;400;ON
229,0054028;118,44;400;ON
229,7963367;118,24;400;ON
230,5649185;117,96;400;ON
231,3316736;118,58;400;ON
232,1156343;109,56;400;ON
232,9110814;93,66;400;ON
233,6904081;82,54;400;ON
234,4628442;75,31;400;ON
235,2600505;69,92;400;ON
236,0525253;66,09;400;ON
236,835627;62,95;400;ON
237,6329507;60,13;400;ON
238,430706;57,06;400;ON
239,2033351;53,89;400;ON
239,9805628;51,36;400;ON
240,7287364;48,81;400;ON
241,4937142;47,01;400;ON
242,2587785;45,39;400;ON
243,0584284;43,71;400;ON
243,8201881;42,07;400;ON
244,5967331;27,81;400;ON
245,3852792;26,53;400;ON
246,1488335;26,27;400;ON
246,9167281;26,16;400;ON
247,7204277;26,09;400;ON
248,504709;25,85;400;ON
249,2665185;25,71;400;ON
250,0406991;23,6;400;ON
250,8176557;16,5;400;ON
251,5582327;16,05;400;ON
252,3286046;16,03;400;ON
253,0942692;15,91;400;ON
253,8921944;15,94;400;ON
254,6583133;16,25;400;ON
255,4363373;16,32;400;ON
256,272954;16,3;400;ON
257,0491399;16,21;400;ON
257,7800973;16,23;400;ON
258,5544153;16,46;400;ON
259,350493;26,6;400;ON
260,1609928;74,98;400;ON
260,9549877;92,91;400;ON
261,7760281;96,67;400;ON
262,5228529;97,18;400;ON
263,2632989;97,17;400;ON
264,0568392;97,14;400;ON
264,8347156;97,11;400;ON
265,6395452;97,05;400;ON
266,3827441;96,87;400;ON
267,1809604;96,3;400;ON
267,9476279;96,22;400;ON
268,7654226;96,25;400;ON
269,5703262;96,33;400;ON
270,3072765;96,21;400;ON
271,0931055;96,16;400;ON
271,8706549;95,31;400;ON
272,6952487;93,82;400;ON
273,487583;93,45;400;ON
274,2515036;93,48;400;ON
274,9928172;93,51;400;ON
275,7660592;93,5;400;ON
276,5601885;93,56;400;ON
277,3114337;93,65;400;ON
278,0801386;93,66;400;ON
278,8725889;93,71;400;ON
279,6561864;93,67;400;ON
280,4251186;93,65;400;ON
281,1752306;93,68;400;ON
281,992113;93,57;400;ON
282,7528204;93,56;400;ON
283,5588221;93,51;400;ON
284,3546993;93,45;400;ON
285,1109175;93,49;400;ON
285,8675602;93,46;400;ON
286,6404057;93,39;400;ON
