TIME;TEMPERATURE;VOLUME;HEATING
0;42,08;1;ON
0,8047155;42,09;1;ON
1,5962477;42;1;ON
2,3547144;41,92;1;ON
3,1331124;41,97;1;ON
3,9432934;41,95;1;ON
4,7418026;41,89;1;ON
5,5382856;41,85;1;ON
6,3098823;41,91;1;ON
7,0957319;41,84;1;ON
7,8741568;41,82;1;ON
8,6283489;41,88;1;ON
9,3841804;41,9;1;ON
10,1471184;41,84;1;ON
10,9364207;41,86;1;ON
11,7337816;41,86;1;ON
12,5215406;41,89;1;ON
13,3119465;42;1;ON
14,097985;42,09;1;ON
14,8762195;42,15;1;ON
15,6665065;42,11;1;ON
16,4327377;42,2;1;ON
17,1962036;42,35;1;ON
17,9772164;42,47;1;ON
18,7365934;42,68;1;ON
19,5340507;42,98;1;ON
20,2909523;43,35;1;ON
21,0615265;43,85;1;ON
21,8712339;44,43;1;ON
22,6817566;44,87;1;ON
23,4712601;45,25;1;ON
24,2839999;45,57;1;ON
25,0553825;45,67;1;ON
25,8431449;45,62;1;ON
26,6006439;45,57;1;ON
27,389598;45,59;1;ON
28,1461496;45,61;1;ON
28,9469937;45,66;1;ON
29,7206172;45,89;1;ON
30,498336;46,01;1;ON
31,2742809;46,26;1;ON
32,0516135;46,46;1;ON
32,8444227;46,86;1;ON
33,6232096;47,28;1;ON
34,4050965;47,7;1;ON
35,1797422;47,84;1;ON
35,9575535;47,86;1;ON
36,7425909;47,8;1;ON
37,5319536;47,82;1;ON
38,3136925;47,79;1;ON
39,1160473;47,67;1;ON
39,859774;47,49;1;ON
40,6307273;47,04;1;ON
41,4087462;46,79;1;ON
42,1838359;46,69;1;ON
42,940926;46,73;1;ON
43,7273306;47,11;1;ON
44,4842689;47,42;1;ON
45,2843144;47,63;1;ON
46,0591473;47,85;1;ON
46,8346546;48,18;1;ON
47,6325076;48,54;1;ON
48,419621;48,91;1;ON
49,1937221;49;1;ON
49,964532;49,05;1;ON
50,7204828;48,96;1;ON
51,4814498;48,99;1;ON
52,2609233;49,14;1;ON
53,0413029;49,39;1;ON
53,854771;49,46;1;ON
54,6386433;49,71;1;ON
55,4148053;50,28;1;ON
56,2180791;51,12;1;ON
56,9747474;51,67;1;ON
57,746073;51,86;1;ON
58,5093319;51,82;1;ON
59,2846112;51,79;1;ON
60,0997905;51,96;1;ON
60,8903033;52,26;1;ON
61,6902797;52,42;1;ON
62,466057;52,74;1;ON
63,244295;53,42;1;ON
64,0202218;53,82;1;ON
64,8134512;53,75;1;ON
65,5910669;53,71;1;ON
66,3624522;53,68;1;ON
67,1299057;53,84;1;ON
67,9372381;54,2;1;ON
68,7329166;54,79;1;ON
69,4877256;55,42;1;ON
70,2663952;55,96;1;ON
71,1133638;56,34;1;ON
71,9199004;56,34;1;ON
72,6757429;56,28;1;ON
73,4699385;56,32;1;ON
74,2312733;56,8;1;ON
75,012558;57,64;1;ON
75,810235;58,14;1;ON
76,6101208;58,6;1;ON
77,3627667;58,86;1;ON
78,1577024;58,7;1;ON
78,9565929;58,99;1;ON
79,7801731;59,75;1;ON
80,5371763;60,34;1;ON
81,3317862;60,68;1;ON
82,1093785;60,68;1;ON
82,9236984;60,9;1;ON
83,7182392;62,22;1;ON
84,491896;63,41;1;ON
85,3011545;62,66;1;ON
