TIME;TEMPERATURE;VOLUME;HEATING
0;31,11;500;ON
0,7999655;31,07;500;ON
1,5980435;31,05;500;ON
2,3661222;31,02;500;ON
3,1648708;31,1;500;ON
3,9553016;31,08;500;ON
4,7331458;31,07;500;ON
5,5232552;31,07;500;ON
6,3170284;31,1;500;ON
7,0712424;31,08;500;ON
7,849082;30,97;500;ON
8,602909;30,96;500;ON
9,4071283;31,01;500;ON
10,1864503;31,03;500;ON
10,953362;31,07;500;ON
11,7412279;31,06;500;ON
12,5388977;31,07;500;ON
13,3147331;31,01;500;ON
14,1019141;31,02;500;ON
14,8845161;31,03;500;ON
15,6421555;30,99;500;ON
16,4504908;31,03;500;ON
17,237918;31;500;ON
18,0243684;31,07;500;ON
18,7998371;31,05;500;ON
19,5734856;31,1;500;ON
20,3612745;31,15;500;ON
21,1575015;31,36;500;ON
21,9282219;31,56;500;ON
22,7086532;31,73;500;ON
23,4456438;31,77;500;ON
24,2314568;32,04;500;ON
25,0319177;32,37;500;ON
25,8100877;32,61;500;ON
26,6212081;32,75;500;ON
27,4211048;32,96;500;ON
28,2146711;33,14;500;ON
28,9650145;33,35;500;ON
29,7198485;33,53;500;ON
30,4725348;33,78;500;ON
31,2580695;34,11;500;ON
32,0698574;34,55;500;ON
32,857234;34,96;500;ON
33,6397583;35,46;500;ON
34,4201673;35,77;500;ON
35,1706991;36,09;500;ON
35,9257797;36,45;500;ON
36,7210768;36,72;500;ON
37,5194964;37,02;500;ON
38,2923271;37,29;500;ON
39,0831702;37,58;500;ON
39,8479164;37,85;500;ON
40,6314726;38,17;500;ON
41,3959119;38,45;500;ON
42,1885096;38,6;500;ON
42,9478432;38,72;500;ON
43,7323007;38,99;500;ON
44,5074656;39,36;500;ON
45,2803698;39,71;500;ON
46,0202546;40,05;500;ON
46,798118;40,39;500;ON
47,5633623;40,67;500;ON
48,3406491;41,06;500;ON
49,1260445;41,47;500;ON
49,9255705;41,88;500;ON
50,6874214;42,13;500;ON
51,4492116;42,37;500;ON
52,2432155;42,6;500;ON
53,0289899;42,86;500;ON
53,8342065;43,25;500;ON
54,6170611;43,53;500;ON
55,4102305;43,89;500;ON
56,1826473;44,24;500;ON
56,9749993;44,5;500;ON
57,7649675;44,74;500;ON
58,5289964;45,07;500;ON
59,3025652;45,4;500;ON
60,0740656;45,53;500;ON
60,8808411;46,07;500;ON
61,6602688;46,1;500;ON
62,4619406;46,25;500;ON
63,2440669;46,5;500;ON
64,0146615;46,71;500;ON
64,7880525;46,95;500;ON
65,5452365;47,26;500;ON
66,3041839;47,53;500;ON
67,0920751;47,88;500;ON
67,8447938;48,02;500;ON
68,6251149;48,34;500;ON
69,4256215;48,6;500;ON
70,1771765;48,85;500;ON
70,9325637;49,17;500;ON
71,7370564;49,43;500;ON
72,5149205;49,57;500;ON
73,3030417;49,76;500;ON
74,0886848;49,89;500;ON
74,8780281;50,14;500;ON
75,6556076;50,43;500;ON
76,4131277;50,4;500;ON
77,1630316;50,65;500;ON
77,9243615;50,77;500;ON
78,6884987;50,85;500;ON
79,4390305;51,03;500;ON
80,1791271;51,09;500;ON
80,9107931;51,28;500;OFF
81,6871043;51,35;500;OFF
82,4532823;51,52;500;OFF
83,1982901;51,85;500;OFF
83,9764073;52,18;500;OFF
84,7435976;52,36;500;OFF
85,5189327;52,08;500;OFF
86,2791249;51,3;500;OFF
87,0142099;50,99;500;OFF
87,7702884;51,38;500;OFF
88,4972471;51,91;500;OFF
89,2612529;52,6;500;OFF
90,0102717;53,35;500;OFF
90,7572301;53,9;500;OFF
91,5062547;54,16;500;OFF
92,2516163;54,56;500;OFF
93,0002239;54,82;500;OFF
93,7288164;54,85;500;OFF
94,495463;54,77;500;OFF
95,2716556;54,57;500;OFF
96,0816904;54,39;500;OFF
96,8702926;54,15;500;OFF
97,6443081;53,91;500;OFF
98,4133289;53,74;500;OFF
99,1614371;53,42;500;OFF
99,9457337;53,25;500;OFF
100,7072641;52,91;500;OFF
101,5021757;52,68;500;OFF
102,2675608;52,54;500;OFF
103,0206284;52,45;500;OFF
103,8270426;52,32;500;OFF
104,5880587;52;500;OFF
105,3658723;52,03;500;OFF
106,1516234;51,91;500;OFF
106,930527;51,87;500;OFF
107,6660858;52,05;500;OFF
108,4379382;52;500;OFF
109,1784701;52,07;500;OFF
109,9468366;52,14;500;OFF
110,7088907;52,21;500;OFF
111,4657066;52,24;500;OFF
112,2186032;52,24;500;OFF
112,9489726;52,36;500;OFF
113,7374521;52,5;500;OFF
114,5475681;52,74;500;OFF
115,3501234;52,9;500;OFF
116,1383193;52,97;500;OFF
116,9273459;53;500;OFF
117,7142395;52,92;500;OFF
118,5006812;52,86;500;OFF
119,2596795;52,74;500;OFF
120,0070906;52,64;500;OFF
120,7844262;52,6;500;OFF
121,5676274;52,58;500;OFF
122,3656389;52,53;500;OFF
123,1749303;52,58;500;OFF
123,9791591;52,73;500;OFF
124,7713887;52,64;500;OFF
125,5504562;52,66;500;OFF
126,3209571;52,49;500;OFF
127,0750367;52,22;500;OFF
127,832681;52,1;500;OFF
128,6117557;51,99;500;OFF
129,3793708;52,07;500;OFF
130,1514912;52,07;500;OFF
130,9101924;52,07;500;OFF
131,6808987;52,13;500;OFF
132,4637545;52,08;500;OFF
133,2525289;52,08;500;OFF
134,035917;52,01;500;OFF
134,8118268;51,96;500;OFF
135,5872741;52;500;OFF
136,3793244;52,04;500;OFF
137,1561441;52,16;500;OFF
137,9749185;52,41;500;OFF
138,7425128;52,57;500;OFF
139,520645;52,57;500;OFF
140,3354215;52,53;500;OFF
141,1293151;52,42;500;OFF
141,9456552;52,27;500;OFF
142,7081212;52,11;500;OFF
143,4984757;52,17;500;OFF
144,2806168;52,05;500;OFF
145,0348651;52;500;OFF
145,8362107;51,87;500;OFF
146,6550212;51,8;500;OFF
147,4491516;51,86;500;OFF
148,2309033;52,03;500;OFF
149,0175636;51,98;500;OFF
149,7956467;52,01;500;OFF
150,6006292;51,96;500;OFF
151,3601448;52,01;500;OFF
152,1531454;52,07;500;OFF
152,9322575;52,04;500;OFF
153,7680939;52,01;500;OFF
154,549092;52,01;500;OFF
155,3594927;52,01;500;OFF
156,1659069;52,11;500;OFF
156,9251314;52;500;OFF
157,6932675;51,94;500;OFF
