TIME;TEMPERATURE;VOLUME;HEATING
0;15,9;700;ON
0,8072518;15,91;700;ON
1,5383545;15,93;700;ON
2,3230828;15,92;700;ON
3,1053316;15,98;700;ON
3,9086377;15,92;700;ON
4,6992861;15,97;700;ON
5,4970905;15,93;700;ON
6,2571254;15,94;700;ON
7,0528112;15,97;700;ON
7,8489594;15,93;700;ON
8,6334967;15,99;700;ON
9,4375131;15,97;700;ON
10,2396498;15,97;700;ON
11,0260999;15,98;700;ON
11,7823016;15,95;700;ON
12,582066;16,05;700;ON
13,3720427;16,07;700;ON
14,1833044;16,1;700;ON
14,9610407;16,06;700;ON
15,7179107;16,07;700;ON
16,5205659;16,11;700;ON
17,3161184;16,14;700;ON
18,0994221;16,11;700;ON
18,8960272;16,12;700;ON
19,7016502;16,08;700;ON
20,460271;16,07;700;ON
21,243261;16,05;700;ON
22,028052;16,1;700;ON
22,8080421;16,15;700;ON
23,5875953;16,11;700;ON
24,3552143;16,07;700;ON
25,1459344;16,18;700;ON
25,9148274;16,18;700;ON
26,6922541;16,23;700;ON
27,4678257;16,32;700;ON
28,256092;16,37;700;ON
29,0361228;16,47;700;ON
29,8287868;16,53;700;ON
30,5993943;16,55;700;ON
31,3614168;16,73;700;ON
32,1361355;16,71;700;ON
32,8990328;16,89;700;ON
33,7028199;17,08;700;ON
34,4939173;17,26;700;ON
35,2655028;17,47;700;ON
36,0633457;17,68;700;ON
36,8315148;17,89;700;ON
37,6341533;18,03;700;ON
38,3843466;18,19;700;ON
39,1765499;18,38;700;ON
39,9520894;18,62;700;ON
40,7722874;18,75;700;ON
41,5312239;18,9;700;ON
42,3266204;19,12;700;ON
43,1269976;19,25;700;ON
43,9059206;19,37;700;ON
44,6856823;19,53;700;ON
45,4834398;19,67;700;ON
46,2521685;19,84;700;ON
47,0214254;20,03;700;ON
47,828308;20,18;700;ON
48,5979561;20,41;700;ON
49,3835816;20,73;700;ON
50,1518583;20,96;700;ON
50,907622;21,3;700;ON
51,6799328;21,57;700;ON
52,457802;21,85;700;ON
53,2159078;21,97;700;ON
54,0228123;22,29;700;ON
54,809879;22,46;700;ON
55,627853;22,69;700;ON
56,4111239;22,96;700;ON
57,1821188;23,19;700;ON
57,9825515;23,5;700;ON
58,7939054;23,75;700;ON
59,5725732;24,12;700;ON
60,3371145;24,48;700;ON
61,1034445;24,78;700;ON
61,8824509;25,08;700;ON
62,6435649;25,4;700;ON
63,4530985;25,57;700;ON
64,2411424;25,7;700;ON
65,0215531;25,92;700;ON
65,7960418;26,12;700;ON
66,5659278;26,28;700;ON
67,3154304;26,34;700;ON
68,0788711;26,59;700;ON
68,851607;26,78;700;ON
69,6234742;27;700;ON
70,3983956;27,09;700;ON
71,2100618;27,32;700;ON
72,0249883;27,52;700;ON
72,7908916;27,7;700;ON
73,5730671;27,84;700;ON
74,355835;28,06;700;ON
75,1570082;28,26;700;ON
75,9170933;28,35;700;ON
76,7114322;28,56;700;ON
77,4593792;28,79;700;ON
78,2749899;29,09;700;ON
79,0466177;29,34;700;ON
79,8542546;29,5;700;ON
80,6727558;29,8;700;ON
81,4528387;29,96;700;ON
82,2449744;30,25;700;ON
83,0350675;30,42;700;ON
83,8176077;30,75;700;ON
84,6020657;30,96;700;ON
85,3753911;31,14;700;ON
86,1301009;31,32;700;ON
86,8975021;31,53;700;ON
87,6813378;31,76;700;ON
88,4772025;32;700;ON
89,2517196;32,18;700;ON
90,0263906;32,55;700;ON
90,8416181;32,78;700;ON
91,6699315;33,1;700;ON
92,443469;33,36;700;ON
93,2115608;33,54;700;ON
93,9949687;33,74;700;ON
94,7473666;34,01;700;ON
95,5228578;34,14;700;ON
96,3168788;34,42;700;ON
97,1387011;34,6;700;ON
97,9214468;34,84;700;ON
98,701637;35,09;700;ON
99,45442;35,32;700;ON
100,2363475;35,43;700;ON
100,9791303;35,51;700;ON
101,7332364;35,73;700;ON
102,5063194;35,87;700;ON
103,2732647;36;700;ON
104,021928;36,28;700;ON
104,7915176;36,5;700;ON
105,5679935;36,72;700;ON
106,3653206;36,96;700;ON
107,1404489;37,22;700;ON
107,9397421;37,42;700;ON
108,7424195;37,67;700;ON
109,5004136;37,87;700;ON
110,2701029;38,07;700;ON
111,0321835;38,28;700;ON
111,8379008;38,58;700;ON
112,6191267;38,78;700;ON
113,3582791;38,89;700;ON
114,1217084;39,04;700;ON
114,9088609;39,31;700;ON
115,6834976;39,61;700;ON
116,4527111;39,77;700;ON
117,2174382;40,05;700;ON
118,0181227;40,24;700;ON
118,7946708;40,5;700;ON
119,5752472;40,79;700;ON
120,3509249;40,95;700;ON
121,0953891;41,17;700;ON
121,8572364;41,4;700;ON
122,6339056;41,59;700;ON
123,4243087;41,8;700;ON
124,1750347;42,09;700;ON
124,9748187;42,42;700;ON
125,7578698;42,64;700;ON
126,5681948;42,86;700;ON
127,3438249;43,13;700;ON
128,1840641;43,39;700;ON
129,0122362;43,56;700;ON
129,8147128;43,78;700;ON
130,5966818;44,01;700;ON
131,3577977;44,1;700;ON
132,1120948;44,28;700;ON
132,9085003;44,45;700;ON
133,6969289;44,82;700;ON
134,4584745;45,01;700;ON
135,2130413;45,18;700;ON
135,9952964;45,39;700;ON
136,7875907;45,66;700;ON
137,5691161;45,84;700;ON
138,3406147;46,02;700;ON
139,1124384;46,18;700;ON
139,8952793;46,33;700;ON
140,6803289;46,51;700;ON
141,4508987;46,77;700;ON
142,2216837;46,99;700;ON
143,0210192;47,17;700;ON
143,8072458;47,37;700;ON
144,5601187;47,71;700;ON
145,319702;48,03;700;ON
146,0758217;48,44;700;ON
146,8645388;48,73;700;ON
147,6348273;48,98;700;ON
148,4346872;49,18;700;ON
149,2250933;49,22;700;ON
150,0291304;49,39;700;ON
150,8050686;49,53;700;ON
151,5603105;49,48;700;ON
152,3392377;49,58;700;ON
153,1315108;49,71;700;ON
153,9284581;49,84;700;ON
154,7126197;50,11;700;ON
155,4998756;50,34;700;ON
156,2755801;50,54;700;ON
157,039188;50,82;700;ON
157,8207685;51,07;700;ON
158,6040084;51,39;700;ON
159,4083313;51,58;700;ON
160,1580865;51,91;700;ON
160,9467912;52,3;700;ON
161,7611011;52,55;700;ON
162,5564814;52,69;700;ON
163,321275;52,91;700;ON
164,0661579;53,19;700;ON
164,8529622;53,47;700;ON
165,6235535;53,67;700;ON
166,4288876;53,92;700;ON
167,2020366;54,07;700;ON
168,0014695;54,27;700;ON
168,8020706;54,39;700;ON
169,5780085;54,53;700;ON
170,3847948;54,68;700;ON
171,1602097;55,04;700;ON
171,9201449;55,25;700;ON
172,710045;55,48;700;ON
173,5472394;55,73;700;ON
174,3182226;56,1;700;ON
175,0704552;56,35;700;ON
175,885225;56,53;700;ON
176,666139;56,68;700;ON
177,452443;56,75;700;ON
178,2356372;57;700;ON
179,0392345;57,21;700;ON
179,8213337;57,53;700;ON
180,5932401;57,63;700;ON
181,3933209;57,93;700;ON
182,1673599;58,02;700;ON
182,9517318;58,3;700;ON
183,7499436;58,67;700;ON
184,5385169;58,84;700;ON
185,3100208;59,03;700;ON
186,117674;59,29;700;ON
186,9187063;59,57;700;ON
