TIME;TEMPERATURE;VOLUME;HEATING
0;24,35;700;ON
0,8317888;24,34;700;ON
1,5611898;24,3;700;ON
2,3148934;24,34;700;ON
3,1316677;24,32;700;ON
3,9117665;24,36;700;ON
4,6766385;24,27;700;ON
5,4336875;24,32;700;ON
6,1656289;24,35;700;ON
6,9283064;24,36;700;ON
7,661311;24,32;700;ON
8,4467545;24,35;700;ON
9,234989;24,34;700;ON
9,9659331;24,35;700;ON
10,7059007;24,32;700;ON
11,4348391;24,34;700;ON
12,1851585;24,34;700;ON
12,9821721;24,35;700;ON
13,7633277;24,37;700;ON
14,5335629;24,36;700;ON
15,2793226;24,39;700;ON
16,0905718;24,43;700;ON
16,9075806;24,4;700;ON
17,6770361;24,46;700;ON
18,5009879;24,45;700;ON
19,2917681;24,46;700;ON
20,0622683;24,49;700;ON
20,8341445;24,53;700;ON
21,6506402;24,53;700;ON
22,4534622;24,58;700;ON
23,2645475;24,49;700;ON
24,054122;24,54;700;ON
24,858093;24,56;700;ON
25,6463067;24,59;700;ON
26,4457497;24,62;700;ON
27,2020148;24,58;700;ON
27,9892767;24,7;700;ON
28,792116;24,74;700;ON
29,5674931;24,8;700;ON
30,4001202;24,89;700;ON
31,2018687;25,09;700;ON
31,9968419;25,27;700;ON
32,799662;25,52;700;ON
33,5766434;25,71;700;ON
34,4064371;26,02;700;ON
35,2035312;26,32;700;ON
35,9838852;26,58;700;ON
36,7877935;26,8;700;ON
37,6426544;26,86;700;ON
38,4496735;26,98;700;ON
39,2520583;27,07;700;ON
40,0919889;27,15;700;ON
40,9051188;27,21;700;ON
41,7301644;27,16;700;ON
42,5114839;27,24;700;ON
43,2581449;27,27;700;ON
44,0732556;27,42;700;ON
44,8713049;27,6;700;ON
45,6709911;27,64;700;ON
46,445968;27,84;700;ON
47,2181405;27,9;700;ON
48,0067738;27,82;700;ON
48,8560204;27,79;700;ON
49,6449875;27,95;700;ON
50,4864971;27,92;700;ON
51,2945505;28,11;700;ON
52,0973207;28,28;700;ON
52,8772945;28,6;700;ON
53,689252;28,91;700;ON
54,4977456;29,42;700;ON
55,3229985;29,71;700;ON
56,1240077;29,98;700;ON
56,9336175;30,25;700;ON
57,7376265;30,46;700;ON
58,5540135;30,53;700;ON
59,3472709;30,71;700;ON
60,1594709;30,7;700;ON
60,946416;30,78;700;ON
61,7774712;30,92;700;ON
62,5707309;31,07;700;ON
63,3888396;31,3;700;ON
64,2024755;31,47;700;ON
65,0261225;31,74;700;ON
65,8560046;31,95;700;ON
66,6842506;32,21;700;ON
67,459056;32,42;700;ON
68,2413799;32,62;700;ON
69,0496636;32,87;700;ON
69,8324643;32,98;700;ON
70,655989;32,99;700;ON
71,4441216;33,05;700;ON
72,2694357;33,14;700;ON
73,078112;33,33;700;ON
73,8820969;33,45;700;ON
74,6945544;33,7;700;ON
