TIME;TEMPERATURE;VOLUME;HEATING
TIME;TEMPERATURE;VOLUME;HEATING
TIME;TEMPERATURE;VOLUME;HEATING
TIME;TEMPERATURE;VOLUME;HEATING
TIME;TEMPERATURE;VOLUME;HEATING
TIME;TEMPERATURE;VOLUME;HEATING
TIME;TEMPERATURE;VOLUME;HEATING
TIME;TEMPERATURE;VOLUME;HEATING
TIME;TEMPERATURE;VOLUME;HEATING
TIME;TEMPERATURE;VOLUME;HEATING
TIME;TEMPERATURE;VOLUME;HEATING
TIME;TEMPERATURE;VOLUME;HEATING
0;23,86;1;ON
9,0456359;23,89;1;ON
13,1977295;23,91;1;ON
14,4913062;23,9;1;ON
15,7641542;23,85;1;ON
17,0630171;25,96;1;ON
18,3579233;32,87;1;ON
19,6132791;33,81;1;ON
20,9211457;34,19;1;ON
22,2032021;34,37;1;ON
23,4949786;34,49;1;ON
24,8056503;34,57;1;ON
26,094636;34,64;1;ON
27,3613143;33,32;1;ON
28,6237815;32,04;1;ON
29,911818;30,9;1;ON
31,1694872;30,11;1;ON
32,4580946;29,25;1;ON
33,7566456;28,6;1;ON
35,0536716;28,07;1;ON
36,3563284;27,61;1;ON
37,6612292;27;1;ON
38,9358918;26,73;1;ON
40,2394884;26,42;1;ON
41,5363788;26,2;1;ON
42,8689694;25,88;1;ON
44,1391717;25,62;1;ON
45,4192986;25,43;1;ON
46,7024953;25,34;1;ON
48,0038816;25,18;1;ON
49,292606;25,06;1;ON
50,6012766;24,91;1;ON
51,8690487;24,9;1;ON
53,1380404;24,74;1;ON
54,4261313;24,6;1;ON
55,7082149;24,64;1;ON
56,9772769;24,66;1;ON
58,2842437;24,76;1;ON
59,5826324;24,76;1;ON
60,8772554;24,61;1;ON
62,1397962;24,57;1;ON
63,4229747;24,53;1;ON
64,6897901;24,43;1;ON
65,9815835;24,46;1;ON
67,2622674;24,42;1;ON
68,5335707;24,32;1;ON
69,8276859;24,33;1;ON
71,1192037;24,27;1;ON
72,4128907;24,27;1;ON
73,6974893;24,18;1;ON
74,9937647;24,16;1;ON
76,2749141;24,21;1;ON
77,5804677;24,18;1;ON
78,8649085;24,2;1;ON
80,1566393;24,17;1;ON
81,4520979;24,25;1;ON
82,7383447;24,28;1;ON
84,0476613;24,32;1;ON
85,3312133;24,28;1;ON
86,6559174;25,68;1;ON
87,941068;26,64;1;ON
89,2395337;27,28;1;ON
90,5403709;27,78;1;ON
91,8253649;28,36;1;ON
93,1238612;28,8;1;ON
94,4403525;29,16;1;ON
95,7137125;29,42;1;ON
97,009361;29,72;1;ON
98,305332;29,8;1;ON
99,6122993;29,89;1;ON
100,8727256;30,12;1;ON
102,1709907;29,11;1;ON
103,4662168;27,98;1;ON
104,771975;27,67;1;ON
106,0813943;26,87;1;ON
107,3586498;26,45;1;ON
108,638876;26,34;1;ON
109,9043434;26,25;1;ON
111,2047929;26,1;1;ON
112,4678777;25,96;1;ON
113,739522;25,89;1;ON
115,0470198;25,77;1;ON
116,3356185;25,79;1;ON
117,6285632;25,57;1;ON
118,9194561;25,45;1;ON
120,2217666;25,39;1;ON
121,4940165;25,3;1;ON
122,7805661;25,27;1;ON
124,0481378;25,21;1;ON
125,3421657;25,21;1;ON
126,6317998;25,27;1;ON
127,9216204;25,24;1;ON
129,2390942;25,15;1;ON
130,5209142;25,13;1;ON
131,7904908;25,12;1;ON
133,102498;25,03;1;ON
134,3998993;24,92;1;ON
135,6847672;24,93;1;ON
136,9898956;24,88;1;ON
138,2875876;24,89;1;ON
139,608659;24,88;1;ON
140,8763254;24,82;1;ON
142,1816585;24,87;1;ON
143,4755158;24,87;1;ON
144,7528713;24,77;1;ON
146,0610797;24,79;1;ON
147,3347251;24,87;1;ON
148,5974758;24,93;1;ON
149,8639306;25,18;1;ON
151,1622573;25;1;ON
152,4431289;24,82;1;ON
153,754766;24,85;1;ON
155,0556335;24,7;1;ON
156,3361626;24,57;1;ON
157,6427485;24,53;1;ON
158,9469152;24,43;1;ON
160,2277166;24,35;1;ON
161,4919764;24,28;1;ON
162,7563874;24,27;1;ON
164,0460426;24,2;1;ON
165,3341504;24,2;1;ON
166,6299885;24,08;1;ON
167,9338619;24,13;1;ON
169,2128807;24,04;1;ON
170,5086908;24,04;1;ON
171,8108518;24,07;1;ON
173,1138341;23,96;1;ON
174,4213398;24,03;1;ON
175,6963124;24;1;ON
176,9768332;23,95;1;ON
178,2772502;23,93;1;ON
179,5446372;23,88;1;ON
180,8146103;23,93;1;ON
182,0950601;23,93;1;ON
183,3949787;23,92;1;ON
184,6910063;23,86;1;OFF
185,9658962;23,82;1;OFF
TIME;TEMPERATURE;VOLUME;HEATING
0,0010032;23,6;1;ON
1,2905693;23,6;1;ON
2,5885513;23,6;1;ON
3,8563245;23,53;1;ON
5,1449357;23,57;1;ON
6,4373057;23,62;1;ON
7,7052516;23,56;1;ON
9,0298413;23,57;1;ON
TIME;TEMPERATURE;VOLUME;HEATING
0;23,73;1;ON
1,2791799;23,73;1;ON
2,5784706;23,71;1;ON
3,8573742;23,79;1;ON
5,1463335;23,75;1;ON
6,4464186;23,82;1;ON
7,762025;23,78;1;ON
9,0824552;23,78;1;ON
10,3807646;23,75;1;ON
11,6553959;23,8;1;ON
12,927338;24,1;1;ON
14,2124215;24,15;1;ON
15,509768;24,04;1;ON
16,8156331;23,92;1;ON
18,1077467;23,97;1;ON
19,3864306;23,95;1;ON
20,67235;23,91;1;ON
21,9735067;23,99;1;ON
23,2505239;23,91;1;ON
24,5426896;23,9;1;ON
25,8220754;23,86;1;ON
27,1332164;23,82;1;ON
28,4256483;23,82;1;ON
29,7219184;23,84;1;ON
31,0360985;23,92;1;ON
32,3233905;23,92;1;ON
33,6125031;23,86;1;ON
34,9049558;23,84;1;ON
36,1989384;23,82;1;ON
37,4842771;23,82;1;ON
38,7701709;23,82;1;ON
40,0549961;23,78;1;ON
41,3483062;23,75;1;ON
42,664383;23,73;1;ON
43,9637462;23,6;1;ON
45,2578263;23,71;1;ON
46,5503817;23,71;1;ON
47,8306785;23,65;1;ON
49,0998874;23,67;1;ON
50,3922411;23,73;1;ON
51,7646374;23,63;1;ON
53,0552989;23,67;1;ON
54,3547497;23,62;1;ON
55,6404837;23,65;1;ON
56,9152199;23,57;1;ON
TIME;TEMPERATURE;VOLUME;HEATING
